id,title_en,film_title_cleaned,year,film_age,rank,rating,num_votes,num_votes_rank,director,actor1,actor2,collaboration1,collaboration2
tt0017136,Metropolis,metropolis,1927,96,114,8.2,177943,205,Fritz Lang, Brigitte Helm,Alfred Abel,Fritz Lang -  Brigitte Helm - 1,Fritz Lang - Alfred Abel - 1
tt0095016,Die Hard,diehard,1988,35,115,8.2,899774,68,John McTiernan, Bruce Willis,Alan Rickman,John McTiernan -  Bruce Willis - 1,John McTiernan - Alan Rickman - 1
tt0119488,L.A. Confidential,laconfidential,1997,26,116,8.2,592179,117,Curtis Hanson, Kevin Spacey,Russell Crowe,Curtis Hanson -  Kevin Spacey - 1,Curtis Hanson - Russell Crowe - 1
tt0075314,Taxi Driver,taxidriver,1976,47,117,8.2,861058,74,Martin Scorsese, Robert De Niro,Jodie Foster,Martin Scorsese -  Robert De Niro - 4,Martin Scorsese - Jodie Foster - 1
tt0097576,Indiana Jones and the Last Crusade,indianajonesandthelastcrusade,1989,34,118,8.2,769439,89,Steven Spielberg, Harrison Ford,Sean Connery,Steven Spielberg -  Harrison Ford - 2,Steven Spielberg - Sean Connery - 1
tt0208092,Snatch,snatch,2000,23,119,8.2,872270,72,Guy Ritchie, Jason Statham,Brad Pitt,Guy Ritchie -  Jason Statham - 1,Guy Ritchie - Brad Pitt - 1
tt0040522,Bicycle Thieves,bicyclethieves,1948,75,120,8.2,167244,209,Vittorio De Sica, Lamberto Maggiorani,Enzo Staiola,Vittorio De Sica -  Lamberto Maggiorani - 1,Vittorio De Sica - Enzo Staiola - 1
tt0986264,Like Stars on Earth,likestarsonearth,2007,16,121,8.2,197598,193,Aamir Khan, Darsheel Safary,Aamir Khan,Aamir Khan -  Darsheel Safary - 1,Aamir Khan - Aamir Khan - 1
tt8579674,1917,1917,2019,4,122,8.2,618178,112,Sam Mendes, Dean-Charles Chapman,George MacKay,Sam Mendes -  Dean-Charles Chapman - 1,Sam Mendes - George MacKay - 1
tt1745960,Top Gun: Maverick,topgunmaverick,2022,1,123,8.2,581648,119,Joseph Kosinski, Tom Cruise,Jennifer Connelly,Joseph Kosinski -  Tom Cruise - 1,Joseph Kosinski - Jennifer Connelly - 1
tt0363163,Downfall,downfall,2004,19,124,8.2,361782,153,Oliver Hirschbiegel, Bruno Ganz,Alexandra Maria Lara,Oliver Hirschbiegel -  Bruno Ganz - 1,Oliver Hirschbiegel - Alexandra Maria Lara - 1
tt5074352,Dangal,dangal,2016,7,125,8.2,196800,194,Nitesh Tiwari, Aamir Khan,Sakshi Tanwar,Nitesh Tiwari -  Aamir Khan - 1,Nitesh Tiwari - Sakshi Tanwar - 1
tt0059578,For a Few Dollars More,forafewdollarsmore,1965,58,126,8.2,262271,175,Sergio Leone, Clint Eastwood,Lee Van Cleef,Sergio Leone -  Clint Eastwood - 2,Sergio Leone - Lee Van Cleef - 1
tt0372784,Batman Begins,batmanbegins,2005,18,127,8.2,1499736,17,Christopher Nolan, Christian Bale,Michael Caine,Christopher Nolan -  Christian Bale - 4,Christopher Nolan - Michael Caine - 1
tt0012349,The Kid,thekid,1921,102,128,8.2,129065,221,Charles Chaplin, Charles Chaplin,Edna Purviance,Charles Chaplin -  Charles Chaplin - 5,Charles Chaplin - Edna Purviance - 1
tt0053291,Some Like It Hot,somelikeithot,1959,64,129,8.2,272632,172,Billy Wilder, Marilyn Monroe,Tony Curtis,Billy Wilder -  Marilyn Monroe - 1,Billy Wilder - Tony Curtis - 1
tt10272386,The Father,thefather,2020,3,130,8.2,167103,210,Florian Zeller, Anthony Hopkins,Olivia Colman,Florian Zeller -  Anthony Hopkins - 1,Florian Zeller - Olivia Colman - 1
tt0042192,All About Eve,allabouteve,1950,73,131,8.2,133825,219,Joseph L. Mankiewicz, Bette Davis,Anne Baxter,Joseph L. Mankiewicz -  Bette Davis - 1,Joseph L. Mankiewicz - Anne Baxter - 1
tt0993846,The Wolf of Wall Street,thewolfofwallstreet,2013,10,132,8.2,1457803,20,Martin Scorsese, Leonardo DiCaprio,Jonah Hill,Martin Scorsese -  Leonardo DiCaprio - 3,Martin Scorsese - Jonah Hill - 1
tt6966692,Green Book,greenbook,2018,5,133,8.2,516708,126,Peter Farrelly, Viggo Mortensen,Mahershala Ali,Peter Farrelly -  Viggo Mortensen - 1,Peter Farrelly - Mahershala Ali - 1
tt0055031,Judgment at Nuremberg,judgmentatnuremberg,1961,62,134,8.2,79744,239,Stanley Kramer, Spencer Tracy,Burt Lancaster,Stanley Kramer -  Spencer Tracy - 1,Stanley Kramer - Burt Lancaster - 1
tt0089881,Ran,ran,1985,38,135,8.2,128796,222,Akira Kurosawa, Tatsuya Nakadai,Akira Terao,Akira Kurosawa -  Tatsuya Nakadai - 1,Akira Kurosawa - Akira Terao - 1
tt0112641,Casino,casino,1995,28,136,8.2,533259,123,Martin Scorsese, Robert De Niro,Sharon Stone,Martin Scorsese -  Robert De Niro - 4,Martin Scorsese - Sharon Stone - 1
tt0120382,The Truman Show,thetrumanshow,1998,25,137,8.2,1113660,44,Peter Weir, Jim Carrey,Ed Harris,Peter Weir -  Jim Carrey - 1,Peter Weir - Ed Harris - 1
tt6791350,Guardians of the Galaxy Vol. 3,guardiansofthegalaxyvol3,2023,0,138,8.2,88403,235,James Gunn, Chris Pratt,Chukwudi Iwuji,James Gunn -  Chris Pratt - 1,James Gunn - Chukwudi Iwuji - 1
tt0469494,There Will Be Blood,therewillbeblood,2007,16,139,8.2,600966,113,Paul Thomas Anderson, Daniel Day-Lewis,Paul Dano,Paul Thomas Anderson -  Daniel Day-Lewis - 1,Paul Thomas Anderson - Paul Dano - 1
tt0457430,Pan's Labyrinth,panslabyrinth,2006,17,140,8.2,679877,107,Guillermo del Toro, Ivana Baquero,Ariadna Gil,Guillermo del Toro -  Ivana Baquero - 1,Guillermo del Toro - Ariadna Gil - 1
tt0105695,Unforgiven,unforgiven,1992,31,141,8.2,420037,141,Clint Eastwood, Clint Eastwood,Gene Hackman,Clint Eastwood -  Clint Eastwood - 2,Clint Eastwood - Gene Hackman - 1
tt1130884,Shutter Island,shutterisland,2010,13,142,8.2,1356266,25,Martin Scorsese, Leonardo DiCaprio,Emily Mortimer,Martin Scorsese -  Leonardo DiCaprio - 3,Martin Scorsese - Emily Mortimer - 1
tt0167404,The Sixth Sense,thesixthsense,1999,24,143,8.2,1009259,59,M. Night Shyamalan, Bruce Willis,Haley Joel Osment,M. Night Shyamalan -  Bruce Willis - 1,M. Night Shyamalan - Haley Joel Osment - 1
tt0107290,Jurassic Park,jurassicpark,1993,30,144,8.2,1011555,58,Steven Spielberg, Sam Neill,Laura Dern,Steven Spielberg -  Sam Neill - 1,Steven Spielberg - Laura Dern - 1
tt0268978,A Beautiful Mind,abeautifulmind,2001,22,145,8.2,948600,64,Ron Howard, Russell Crowe,Ed Harris,Ron Howard -  Russell Crowe - 1,Ron Howard - Ed Harris - 1
tt0055630,Yojimbo,yojimbo,1961,62,146,8.1,125623,224,Akira Kurosawa, Toshirô Mifune,Eijirô Tôno,Akira Kurosawa -  Toshirô Mifune - 4,Akira Kurosawa - Eijirô Tôno - 1
tt0040897,The Treasure of the Sierra Madre,thetreasureofthesierramadre,1948,75,147,8.1,127686,223,John Huston, Humphrey Bogart,Walter Huston,John Huston -  Humphrey Bogart - 1,John Huston - Walter Huston - 1
tt0071853,Monty Python and the Holy Grail,montypythonandtheholygrail,1975,48,148,8.1,550867,121,Terry Gilliam, Graham Chapman,John Cleese,Terry Gilliam -  Graham Chapman - 1,Terry Gilliam - John Cleese - 1
tt0477348,No Country for Old Men,nocountryforoldmen,2007,16,149,8.1,998863,62,Ethan Coen, Tommy Lee Jones,Javier Bardem,Ethan Coen -  Tommy Lee Jones - 1,Ethan Coen - Javier Bardem - 1
tt0266697,Kill Bill: Vol. 1,killbillvol1,2003,20,150,8.1,1138331,41,Quentin Tarantino, Uma Thurman,David Carradine,Quentin Tarantino -  Uma Thurman - 1,Quentin Tarantino - David Carradine - 1
tt0057115,The Great Escape,thegreatescape,1963,60,151,8.1,249078,178,John Sturges, Steve McQueen,James Garner,John Sturges -  Steve McQueen - 1,John Sturges - James Garner - 1
tt0042876,Rashomon,rashomon,1950,73,152,8.1,172372,208,Akira Kurosawa, Toshirô Mifune,Machiko Kyô,Akira Kurosawa -  Toshirô Mifune - 4,Akira Kurosawa - Machiko Kyô - 1
tt0084787,The Thing,thething,1982,41,153,8.1,437380,136,John Carpenter, Kurt Russell,Wilford Brimley,John Carpenter -  Kurt Russell - 1,John Carpenter - Wilford Brimley - 1
tt0266543,Finding Nemo,findingnemo,2003,20,154,8.1,1064138,49,Andrew Stanton, Albert Brooks,Ellen DeGeneres,Andrew Stanton -  Albert Brooks - 1,Andrew Stanton - Ellen DeGeneres - 1
tt10872600,Spider-Man: No Way Home,spidermannowayhome,2021,2,155,8.1,792017,83,Jon Watts, Tom Holland,Zendaya,Jon Watts -  Tom Holland - 1,Jon Watts - Zendaya - 1
tt0080678,The Elephant Man,theelephantman,1980,43,156,8.1,247291,181,David Lynch, Anthony Hopkins,John Hurt,David Lynch -  Anthony Hopkins - 1,David Lynch - John Hurt - 1
tt0071315,Chinatown,chinatown,1974,49,157,8.1,334016,161,Roman Polanski, Jack Nicholson,Faye Dunaway,Roman Polanski -  Jack Nicholson - 1,Roman Polanski - Faye Dunaway - 1
tt0081398,Raging Bull,ragingbull,1980,43,158,8.1,362317,152,Martin Scorsese, Robert De Niro,Cathy Moriarty,Martin Scorsese -  Robert De Niro - 4,Martin Scorsese - Cathy Moriarty - 1
tt0434409,V for Vendetta,vforvendetta,2005,18,159,8.1,1139010,40,James McTeigue, Hugo Weaving,Natalie Portman,James McTeigue -  Hugo Weaving - 1,James McTeigue - Natalie Portman - 1
tt0031381,Gone with the Wind,gonewiththewind,1939,84,160,8.1,321899,163,Victor Fleming, Clark Gable,Vivien Leigh,Victor Fleming -  Clark Gable - 1,Victor Fleming - Vivien Leigh - 1
tt0046912,Dial M for Murder,dialmformurder,1954,69,161,8.1,180205,203,Alfred Hitchcock, Ray Milland,Grace Kelly,Alfred Hitchcock -  Ray Milland - 1,Alfred Hitchcock - Grace Kelly - 2
tt0120735,"Lock, Stock and Two Smoking Barrels",lockstockandtwosmokingbarrels,1998,25,162,8.1,594043,116,Guy Ritchie, Jason Flemyng,Dexter Fletcher,Guy Ritchie -  Jason Flemyng - 1,Guy Ritchie - Dexter Fletcher - 1
tt2096673,Inside Out,insideout,2015,8,163,8.1,734033,97,Pete Docter, Amy Poehler,Bill Hader,Pete Docter -  Amy Poehler - 1,Pete Docter - Bill Hader - 1
tt0347149,Howl's Moving Castle,howlsmovingcastle,2004,19,164,8.1,410253,144,Hayao Miyazaki, Chieko Baishô,Takuya Kimura,Hayao Miyazaki -  Chieko Baishô - 1,Hayao Miyazaki - Takuya Kimura - 1
tt1305806,The Secret in Their Eyes,thesecretintheireyes,2009,14,165,8.1,213720,188,Juan José Campanella, Ricardo Darín,Soledad Villamil,Juan José Campanella -  Ricardo Darín - 1,Juan José Campanella - Soledad Villamil - 1
tt5027774,"Three Billboards Outside Ebbing, Missouri",threebillboardsoutsideebbingmissouri,2017,6,166,8.1,524638,125,Martin McDonagh, Frances McDormand,Woody Harrelson,Martin McDonagh -  Frances McDormand - 1,Martin McDonagh - Woody Harrelson - 1
tt0117951,Trainspotting,trainspotting,1996,27,167,8.1,699896,101,Danny Boyle, Ewan McGregor,Ewen Bremner,Danny Boyle -  Ewan McGregor - 1,Danny Boyle - Ewen Bremner - 1
tt0050212,The Bridge on the River Kwai,thebridgeontheriverkwai,1957,66,168,8.1,225263,187,David Lean, William Holden,Alec Guinness,David Lean -  William Holden - 1,David Lean - Alec Guinness - 2
