id,rank,title_en,year,rating,persons
tt0053125,99,North by Northwest,(1959),"8.2 based on 333,963 user ratings","Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint"
tt0052357,100,Vertigo,(1958),"8.2 based on 410,101 user ratings","Alfred Hitchcock (dir.), James Stewart, Kim Novak"
tt0053604,101,The Apartment,(1960),"8.2 based on 186,178 user ratings","Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine"
tt0211915,102,Amélie,(2001),"8.2 based on 768,462 user ratings","Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz"
tt0036775,103,Double Indemnity,(1944),"8.2 based on 160,514 user ratings","Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck"
tt0066921,104,A Clockwork Orange,(1971),"8.2 based on 846,115 user ratings","Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee"
tt0093058,105,Full Metal Jacket,(1987),"8.2 based on 756,991 user ratings","Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey"
tt0086250,106,Scarface,(1983),"8.2 based on 863,472 user ratings","Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer"
tt1255953,107,Incendies,(2010),"8.2 based on 183,255 user ratings","Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin"
tt8503618,108,Hamilton,(2020),"8.2 based on 100,800 user ratings","Thomas Kail (dir.), Lin-Manuel Miranda, Phillipa Soo"
tt0113277,109,Heat,(1995),"8.2 based on 672,155 user ratings","Michael Mann (dir.), Al Pacino, Robert De Niro"
tt1049413,110,Up,(2009),"8.2 based on 1,066,528 user ratings","Pete Docter (dir.), Edward Asner, Jordan Nagai"
tt0056592,111,To Kill a Mockingbird,(1962),"8.2 based on 321,691 user ratings","Robert Mulligan (dir.), Gregory Peck, John Megna"
tt0070735,112,The Sting,(1973),"8.2 based on 269,059 user ratings","George Roy Hill (dir.), Paul Newman, Robert Redford"
tt1832382,113,A Separation,(2011),"8.2 based on 249,064 user ratings","Asghar Farhadi (dir.), Payman Maadi, Leila Hatami"
tt0017136,114,Metropolis,(1927),"8.2 based on 177,913 user ratings","Fritz Lang (dir.), Brigitte Helm, Alfred Abel"
tt0095016,115,Die Hard,(1988),"8.2 based on 899,682 user ratings","John McTiernan (dir.), Bruce Willis, Alan Rickman"
tt0119488,116,L.A. Confidential,(1997),"8.2 based on 592,126 user ratings","Curtis Hanson (dir.), Kevin Spacey, Russell Crowe"
tt0075314,117,Taxi Driver,(1976),"8.2 based on 860,849 user ratings","Martin Scorsese (dir.), Robert De Niro, Jodie Foster"
tt0097576,118,Indiana Jones and the Last Crusade,(1989),"8.2 based on 769,359 user ratings","Steven Spielberg (dir.), Harrison Ford, Sean Connery"
tt0208092,119,Snatch,(2000),"8.2 based on 872,151 user ratings","Guy Ritchie (dir.), Jason Statham, Brad Pitt"
tt0040522,120,Bicycle Thieves,(1948),"8.2 based on 167,217 user ratings","Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola"
